main_page_link,isAssured,car_name,model,brand,location,seller_type,selling_location,transmission_type,km_driven,variant,selling_price
https://www.cardekho.com/used-car-details/used-Maruti-Vitara-Brezza-Vdi-cars-Agra_55420040-b003-46c9-8074-6adbb3790c0d.htm,False,Maruti Vitara Brezza VDi,Maruti,VDi,Agra,Individual,,Manual,"50,000",Diesel,750000.0
https://www.cardekho.com/used-car-details/used-Toyota-Fortuner-2.8-4wd-Mt-Bsiv-cars-Agra_685b852d-4600-48d8-98ce-02d34bd428dc.htm,False,Toyota Fortuner 2.8 4WD MT BSIV,Toyota,2.8 4WD MT BSIV,Agra,Individual,,Manual,"50,000",Diesel,2950000.0
https://www.cardekho.com/used-car-details/used-Chevrolet-Sail-1.3-Base-cars-Agra_7c7636e3-9c68-45f7-a762-a8c56cd61773.htm,False,Chevrolet Sail 1.3 Base,Chevrolet,1.3 Base,Agra,Individual,,Manual,"90,000",Diesel,200000.0
https://www.cardekho.com/used-car-details/used-Maruti-Wagon-R-Duo-Lx-Bsiii-cars-Agra_3605dff5-a565-4020-b03e-a448d26bcb29.htm,False,Maruti Wagon R Duo LX BSIII,Maruti,Duo LX BSIII,Agra,Individual,,Manual,"70,000",LPG,140000.0
https://www.cardekho.com/used-car-details/used-Nissan-Terrano-Xl-110-Ps-cars-Agra_ea3e9ffb-1b23-49d7-9ae3-3249abca9371.htm,False,Nissan Terrano XL 110 PS,Nissan,XL 110 PS,Agra,Individual,,Manual,"70,000",Diesel,350000.0
https://www.cardekho.com/used-car-details/used-Mahindra-Scorpio-Ex-cars-Agra_3bfdd46c-4084-4246-b39d-91a59e90a81c.htm,False,Mahindra Scorpio EX,Mahindra,EX,Agra,Individual,,Manual,"1,00,000",Diesel,450000.0
https://www.cardekho.com/used-car-details/used-Mahindra-Xuv500-At-W10-Fwd-cars-Agra_d2779b8a-ecab-4d2b-bca3-fd6c324928d1.htm,False,Mahindra XUV500 AT W10 FWD,Mahindra,AT W10 FWD,Agra,Individual,,Automatic,"1,60,000",Diesel,725000.0
https://www.cardekho.com/used-car-details/used-Maruti-Swift-Ldi-Bsiv-cars-Agra_57e01ef8-b20f-4e4f-91fd-c170d3674907.htm,False,Maruti Swift Ldi BSIV,Maruti,Ldi BSIV,Agra,Individual,,Manual,"80,000",Diesel,250000.0
https://www.cardekho.com/used-car-details/used-Hyundai-Eon-D-Lite-Plus-cars-Agra_0cd90968-689d-426d-944d-600fa41e98d4.htm,False,Hyundai EON D Lite Plus,Hyundai,D Lite Plus,Agra,Individual,,Manual,"30,000",Petrol,200000.0
https://www.cardekho.com/used-car-details/used-Hyundai-I20-1.4-Crdi-Sportz-cars-Agra_c20faa40-48de-4258-afa1-4a4010b6222c.htm,False,Hyundai i20 1.4 CRDi Sportz,Hyundai,1.4 CRDi Sportz,Agra,Individual,,Manual,"1,10,000",Diesel,165000.0
